Angle,Cp
1.683615e+02,-2.443976e-01
7.688854e+01,1.264226e-01
7.762500e+01,1.123328e-01
7.836146e+01,1.004990e-01
1.350000e+01,1.570146e+00
1.311146e+01,1.575717e+00
1.237500e+01,1.582984e+00
1.163854e+01,1.591199e+00
1.260000e+02,-2.353092e-01
1.256115e+02,-2.353538e-01
1.248750e+02,-2.354652e-01
1.241385e+02,-2.356159e-01
1.530000e+02,-2.357645e-01
1.533885e+02,-2.357455e-01
1.541250e+02,-2.357208e-01
1.548615e+02,-2.357187e-01
6.300000e+01,4.225497e-01
6.338854e+01,4.191317e-01
6.412500e+01,4.034610e-01
6.486146e+01,3.886485e-01
2.700000e+01,1.336055e+00
2.661146e+01,1.344911e+00
2.587500e+01,1.359343e+00
2.513854e+01,1.375727e+00
1.395000e+02,-2.338867e-01
1.398885e+02,-2.338269e-01
1.406250e+02,-2.336578e-01
1.413615e+02,-2.334380e-01
4.011146e+01,1.015993e+00
3.937500e+01,1.033907e+00
3.863854e+01,1.054576e+00
3.825000e+01,1.064780e+00
9.450000e+01,-1.298541e-01
9.411146e+01,-1.228396e-01
9.337500e+01,-1.167830e-01
9.263854e+01,-1.079850e-01
1.188615e+02,-2.382017e-01
1.181250e+02,-2.389331e-01
1.173885e+02,-2.399463e-01
1.170000e+02,-2.407438e-01
6.113854e+01,4.713084e-01
6.187500e+01,4.513458e-01
6.261146e+01,4.348272e-01
1.170000e+02,-2.369628e-01
1.173885e+02,-2.369257e-01
1.181250e+02,-2.373989e-01
1.188615e+02,-2.380865e-01
6.300000e+01,4.266370e-01
6.261146e+01,4.380552e-01
6.187500e+01,4.543396e-01
6.113854e+01,4.728761e-01
6.075000e+01,4.783300e-01
9.450000e+01,-1.307732e-01
9.488854e+01,-1.355440e-01
9.562500e+01,-1.427598e-01
9.636146e+01,-1.486999e-01
8.550000e+01,-1.582676e-02
8.511146e+01,-8.462934e-03
8.437500e+01,9.872629e-04
8.363854e+01,1.308099e-02
5.850000e+01,5.334423e-01
5.811146e+01,5.454691e-01
5.737500e+01,5.611260e-01
5.663854e+01,5.817277e-01
5.625000e+01,5.900228e-01
1.575000e+01,1.526919e+00
1.613854e+01,1.526945e+00
1.687500e+01,1.517564e+00
1.761146e+01,1.506722e+00
7.425000e+01,1.779894e-01
7.386146e+01,1.876006e-01
7.312500e+01,2.006127e-01
7.238854e+01,2.169200e-01
7.200000e+01,2.223257e-01
5.586146e+01,6.027941e-01
5.512500e+01,6.191028e-01
5.438854e+01,6.400763e-01
5.400000e+01,6.513793e-01
3.375000e+01,1.181652e+00
3.413854e+01,1.173451e+00
3.487500e+01,1.155248e+00
3.561146e+01,1.137142e+00
3.600000e+01,1.127165e+00
1.687500e+02,-2.487495e-01
1.683615e+02,-2.470364e-01
1.676250e+02,-2.459077e-01
1.668885e+02,-2.448532e-01
1.665000e+02,-2.466308e-01
1.125000e+01,1.582196e+00
1.163854e+01,1.583308e+00
1.237500e+01,1.575279e+00
1.311146e+01,1.567133e+00
1.350000e+01,1.562562e+00
1.102500e+02,-2.576871e-01
1.106385e+02,-2.592494e-01
1.113750e+02,-2.585071e-01
1.121115e+02,-2.580891e-01
1.125000e+02,-2.569585e-01
1.597500e+02,-2.387364e-01
1.593615e+02,-2.385407e-01
1.586250e+02,-2.380848e-01
1.578885e+02,-2.377488e-01
1.575000e+02,-2.376056e-01
6.975000e+01,2.721789e-01
6.936146e+01,2.824101e-01
6.862500e+01,2.973981e-01
6.788854e+01,3.148131e-01
6.750000e+01,3.207477e-01
1.710000e+02,-2.361535e-01
1.706115e+02,-2.400674e-01
1.698750e+02,-2.437469e-01
1.691385e+02,-2.454977e-01
9.000000e+00,1.607775e+00
9.388542e+00,1.609110e+00
1.012500e+01,1.600899e+00
1.086146e+01,1.592392e+00
1.571115e+02,-2.374950e-01
1.563750e+02,-2.373386e-01
1.556385e+02,-2.372212e-01
1.552500e+02,-2.371695e-01
1.128885e+02,-2.563667e-01
1.136250e+02,-2.538601e-01
1.143615e+02,-2.513913e-01
1.147500e+02,-2.479052e-01
2.250000e+01,1.428066e+00
2.288854e+01,1.418645e+00
2.362500e+01,1.403077e+00
2.436146e+01,1.389272e+00
2.475000e+01,1.378805e+00
6.711146e+01,3.328364e-01
6.637500e+01,3.480812e-01
6.563854e+01,3.661388e-01
6.525000e+01,3.724175e-01
1.372500e+02,-2.352136e-01
1.368615e+02,-2.352036e-01
1.361250e+02,-2.351692e-01
1.353885e+02,-2.351264e-01
4.275000e+01,9.513229e-01
4.313854e+01,9.422281e-01
4.387500e+01,9.221973e-01
4.461146e+01,9.028811e-01
4.725000e+01,8.310390e-01
4.686146e+01,8.421693e-01
4.612500e+01,8.607911e-01
4.538854e+01,8.805965e-01
1.548615e+02,-2.371265e-01
1.541250e+02,-2.370669e-01
1.533885e+02,-2.370368e-01
1.530000e+02,-2.370308e-01
1.151385e+02,-2.478513e-01
1.158750e+02,-2.435549e-01
1.166115e+02,-2.391158e-01
2.513854e+01,1.374155e+00
2.587500e+01,1.359766e+00
2.661146e+01,1.344223e+00
2.700000e+01,1.335624e+00
6.486146e+01,3.848068e-01
6.412500e+01,4.006697e-01
6.338854e+01,4.190444e-01
6.036146e+01,4.918914e-01
5.962500e+01,5.082004e-01
5.888854e+01,5.267831e-01
4.950000e+01,7.716953e-01
4.911146e+01,7.831230e-01
4.837500e+01,8.017592e-01
4.763854e+01,8.216297e-01
4.050000e+01,1.010823e+00
4.088854e+01,1.001847e+00
4.162500e+01,9.821348e-01
4.236146e+01,9.631159e-01
3.825000e+01,1.069200e+00
3.863854e+01,1.060394e+00
3.937500e+01,1.041122e+00
4.011146e+01,1.022359e+00
5.175000e+01,7.108435e-01
5.136146e+01,7.228583e-01
5.062500e+01,7.418326e-01
4.988854e+01,7.620840e-01
7.161146e+01,2.336185e-01
7.087500e+01,2.478202e-01
7.013854e+01,2.648354e-01
9.225000e+01,-1.052915e-01
9.263854e+01,-1.105703e-01
9.337500e+01,-1.183276e-01
9.411146e+01,-1.254168e-01
1.260000e+02,-2.338564e-01
1.263885e+02,-2.338332e-01
1.271250e+02,-2.337959e-01
1.278615e+02,-2.337627e-01
1.282500e+02,-2.337448e-01
3.638854e+01,1.117645e+00
3.712500e+01,1.098811e+00
3.786146e+01,1.080447e+00
5.361146e+01,6.630457e-01
5.287500e+01,6.822420e-01
5.213854e+01,7.022142e-01
6.750000e+00,1.626383e+00
7.138542e+00,1.631677e+00
7.875000e+00,1.624688e+00
8.611459e+00,1.617833e+00
1.661115e+02,-2.482785e-01
1.653750e+02,-2.483312e-01
1.646385e+02,-2.477074e-01
1.642500e+02,-2.480044e-01
1.388854e+01,1.556713e+00
1.462500e+01,1.546509e+00
1.536146e+01,1.536604e+00
1.616115e+02,-2.373811e-01
1.608750e+02,-2.368873e-01
1.601385e+02,-2.365497e-01
7.161146e+01,2.313147e-01
7.087500e+01,2.459092e-01
7.013854e+01,2.635872e-01
1.800000e+01,1.503364e+00
1.838854e+01,1.499061e+00
1.912500e+01,1.486103e+00
1.986146e+01,1.474227e+00
9.488854e+01,-1.351864e-01
9.562500e+01,-1.467845e-01
9.636146e+01,-1.528283e-01
1.237500e+02,-2.342391e-01
1.233615e+02,-2.343606e-01
1.226250e+02,-2.344397e-01
1.218885e+02,-2.345987e-01
2.211146e+01,1.434170e+00
2.137500e+01,1.445703e+00
2.063854e+01,1.457376e+00
