Angle,Cp,p
1.233615e+02,-2.358307e-01,6.065563e-02
1.226250e+02,-2.361235e-01,6.050924e-02
1.218885e+02,-2.365028e-01,6.031962e-02
1.012500e+02,-1.990276e-01,7.905722e-02
1.008615e+02,-1.934041e-01,8.186896e-02
1.001250e+02,-1.901577e-01,8.349213e-02
9.938854e+01,-1.786547e-01,8.924367e-02
-1.687500e+02,-2.460987e-01,5.552166e-02
-1.691385e+02,-2.423159e-01,5.741305e-02
-1.698750e+02,-2.430770e-01,5.703249e-02
-1.706115e+02,-2.425682e-01,5.728690e-02
-1.710000e+02,-2.458675e-01,5.563725e-02
-7.875000e+01,9.087989e-02,2.240109e-01
-7.913854e+01,8.598596e-02,2.215640e-01
-7.987500e+01,7.302514e-02,2.150836e-01
-8.061146e+01,6.177408e-02,2.094580e-01
-8.100000e+01,5.459774e-02,2.058699e-01
1.125000e+01,1.590910e+00,9.740258e-01
1.086146e+01,1.600827e+00,9.789847e-01
1.012500e+01,1.607693e+00,9.824177e-01
9.388542e+00,1.617325e+00,9.872333e-01
9.000000e+00,1.615223e+00,9.861826e-01
1.080000e+02,-2.449919e-01,5.607503e-02
1.076115e+02,-2.403935e-01,5.837424e-02
1.068750e+02,-2.372017e-01,5.997017e-02
1.061385e+02,-2.320575e-01,6.254227e-02
1.057500e+02,-2.336232e-01,6.175941e-02
-1.620000e+02,-2.377251e-01,5.970845e-02
-1.623885e+02,-2.381333e-01,5.950435e-02
-1.631250e+02,-2.388490e-01,5.914648e-02
-1.638615e+02,-2.398370e-01,5.865250e-02
-1.642500e+02,-2.429142e-01,5.711391e-02
-7.200000e+01,2.203821e-01,2.887621e-01
-7.238854e+01,2.142541e-01,2.856980e-01
-7.312500e+01,1.981207e-01,2.776314e-01
-7.386146e+01,1.847896e-01,2.709658e-01
-7.425000e+01,1.757573e-01,2.664496e-01
-1.552500e+02,-2.357245e-01,6.070875e-02
-1.556385e+02,-2.357405e-01,6.070077e-02
-1.563750e+02,-2.357887e-01,6.067664e-02
-1.571115e+02,-2.358652e-01,6.063840e-02
-8.138854e+01,4.736251e-02,2.022523e-01
-8.212500e+01,3.510475e-02,1.961234e-01
-8.286146e+01,2.445251e-02,1.907973e-01
-8.325000e+01,1.794508e-02,1.875435e-01
8.611459e+00,1.626291e+00,9.917167e-01
7.875000e+00,1.631285e+00,9.942133e-01
7.138542e+00,1.639495e+00,9.983183e-01
6.750000e+00,1.636375e+00,9.967584e-01
1.053615e+02,-2.275435e-01,6.479923e-02
1.046250e+02,-2.248034e-01,6.616928e-02
1.038885e+02,-2.173049e-01,6.991857e-02
1.035000e+02,-2.146987e-01,7.122163e-02
-7.463854e+01,1.691010e-01,2.631215e-01
-7.537500e+01,1.543615e-01,2.557518e-01
-7.611146e+01,1.418425e-01,2.494922e-01
-7.650000e+01,1.334392e-01,2.452906e-01
-1.646385e+02,-2.415981e-01,5.777195e-02
-1.653750e+02,-2.426490e-01,5.724651e-02
-1.661115e+02,-2.431588e-01,5.699160e-02
-1.665000e+02,-2.471697e-01,5.498616e-02
1.031115e+02,-2.092485e-01,7.394677e-02
1.023750e+02,-2.047508e-01,7.619561e-02
1.016385e+02,-1.987533e-01,7.919436e-02
