Angle,Cp,p
1.233615e+02,-2.386685e-01,5.923673e-02
1.226250e+02,-2.390155e-01,5.906327e-02
1.218885e+02,-2.394159e-01,5.886307e-02
1.012500e+02,-2.013488e-01,7.789662e-02
1.008615e+02,-1.979159e-01,7.961307e-02
1.001250e+02,-1.895719e-01,8.378503e-02
9.938854e+01,-1.802167e-01,8.846263e-02
-1.687500e+02,-2.432883e-01,5.692683e-02
-1.691385e+02,-2.432059e-01,5.696807e-02
-1.698750e+02,-2.430679e-01,5.703704e-02
-1.706115e+02,-2.430325e-01,5.705477e-02
-1.710000e+02,-2.431537e-01,5.699417e-02
-7.875000e+01,8.180094e-02,2.194715e-01
-7.913854e+01,7.528156e-02,2.162118e-01
-7.987500e+01,6.287357e-02,2.100078e-01
-8.061146e+01,5.028570e-02,2.037138e-01
-8.100000e+01,4.388374e-02,2.005129e-01
1.125000e+01,1.605025e+00,9.810837e-01
1.086146e+01,1.611311e+00,9.842265e-01
1.012500e+01,1.618259e+00,9.877005e-01
9.388542e+00,1.626327e+00,9.917346e-01
9.000000e+00,1.631552e+00,9.943469e-01
1.080000e+02,-2.472028e-01,5.496960e-02
1.076115e+02,-2.452783e-01,5.593187e-02
1.068750e+02,-2.415559e-01,5.779305e-02
1.061385e+02,-2.372997e-01,5.992115e-02
1.057500e+02,-2.350164e-01,6.106279e-02
-1.620000e+02,-2.429046e-01,5.711871e-02
-1.623885e+02,-2.429695e-01,5.708624e-02
-1.631250e+02,-2.430844e-01,5.702882e-02
-1.638615e+02,-2.431810e-01,5.698049e-02
-1.642500e+02,-2.432246e-01,5.695869e-02
-7.200000e+01,2.116690e-01,2.844055e-01
-7.238854e+01,2.031459e-01,2.801439e-01
-7.312500e+01,1.881068e-01,2.726244e-01
-7.386146e+01,1.723779e-01,2.647600e-01
-7.425000e+01,1.647787e-01,2.609604e-01
-1.552500e+02,-2.424856e-01,5.732822e-02
-1.556385e+02,-2.424559e-01,5.734307e-02
-1.563750e+02,-2.424232e-01,5.735941e-02
-1.571115e+02,-2.424190e-01,5.736148e-02
-8.138854e+01,3.820774e-02,1.976749e-01
-8.212500e+01,2.685028e-02,1.919961e-01
-8.286146e+01,1.523671e-02,1.861894e-01
-8.325000e+01,9.273828e-03,1.832079e-01
8.611459e+00,1.636117e+00,9.966294e-01
7.875000e+00,1.640927e+00,9.990347e-01
7.138542e+00,1.647102e+00,1.002122e+00
6.750000e+00,1.650924e+00,1.004033e+00
1.053615e+02,-2.325305e-01,6.230575e-02
1.046250e+02,-2.276027e-01,6.476966e-02
1.038885e+02,-2.223589e-01,6.739155e-02
1.035000e+02,-2.195265e-01,6.880777e-02
-7.463854e+01,1.571321e-01,2.571371e-01
-7.537500e+01,1.430036e-01,2.500728e-01
-7.611146e+01,1.287512e-01,2.429466e-01
-7.650000e+01,1.216387e-01,2.393903e-01
-1.646385e+02,-2.432623e-01,5.693983e-02
-1.653750e+02,-2.433152e-01,5.691339e-02
-1.661115e+02,-2.433494e-01,5.689630e-02
-1.665000e+02,-2.433584e-01,5.689178e-02
1.031115e+02,-2.165544e-01,7.029381e-02
1.023750e+02,-2.107810e-01,7.318050e-02
1.016385e+02,-2.047166e-01,7.621271e-02
-1.668885e+02,-2.433695e-01,5.688624e-02
-1.676250e+02,-2.433744e-01,5.688379e-02
-1.683615e+02,-2.433422e-01,5.689992e-02
-7.688854e+01,1.148206e-01,2.359813e-01
-7.762500e+01,1.018139e-01,2.294780e-01
-7.836146e+01,8.854443e-02,2.228432e-01
1.350000e+01,1.574694e+00,9.659178e-01
1.311146e+01,1.581586e+00,9.693639e-01
1.237500e+01,1.590550e+00,9.738461e-01
1.163854e+01,1.600104e+00,9.786232e-01
1.260000e+02,-2.379766e-01,5.958270e-02
1.256115e+02,-2.380336e-01,5.955422e-02
1.248750e+02,-2.381742e-01,5.948390e-02
1.241385e+02,-2.383735e-01,5.938427e-02
-1.530000e+02,-2.427432e-01,5.719941e-02
-1.533885e+02,-2.426995e-01,5.722127e-02
-1.541250e+02,-2.426057e-01,5.726817e-02
-1.548615e+02,-2.425126e-01,5.731472e-02
-6.300000e+01,4.202323e-01,3.886872e-01
-6.338854e+01,4.125225e-01,3.848322e-01
-6.412500e+01,3.960975e-01,3.766197e-01
-6.486146e+01,3.878684e-01,3.725052e-01
2.700000e+01,1.333689e+00,8.454157e-01
2.661146e+01,1.342087e+00,8.496143e-01
2.587500e+01,1.356804e+00,8.569729e-01
2.513854e+01,1.372650e+00,8.648962e-01
-1.395000e+02,-2.400163e-01,5.856283e-02
-1.398885e+02,-2.399857e-01,5.857817e-02
-1.406250e+02,-2.399249e-01,5.860857e-02
-1.413615e+02,-2.398657e-01,5.863813e-02
4.011146e+01,1.009322e+00,6.832318e-01
3.937500e+01,1.028476e+00,6.928088e-01
3.863854e+01,1.048171e+00,7.026566e-01
3.825000e+01,1.060673e+00,7.089073e-01
9.450000e+01,-1.378300e-01,1.096560e-01
9.411146e+01,-1.333176e-01,1.119122e-01
9.337500e+01,-1.255212e-01,1.158104e-01
9.263854e+01,-1.173179e-01,1.199121e-01
1.188615e+02,-2.421049e-01,5.751855e-02
1.181250e+02,-2.432109e-01,5.696554e-02
1.173885e+02,-2.446190e-01,5.626149e-02
1.170000e+02,-2.455060e-01,5.581798e-02
-6.113854e+01,4.594244e-01,4.082832e-01
-6.187500e+01,4.448405e-01,4.009912e-01
-6.261146e+01,4.277006e-01,3.924213e-01
-1.170000e+02,-2.515145e-01,5.281377e-02
-1.173885e+02,-2.498859e-01,5.362805e-02
-1.181250e+02,-2.470076e-01,5.506720e-02
-1.188615e+02,-2.447810e-01,5.618051e-02
6.300000e+01,4.166830e-01,3.869125e-01
6.261146e+01,4.259877e-01,3.915648e-01
6.187500e+01,4.452964e-01,4.012192e-01
6.113854e+01,4.633439e-01,4.102430e-01
6.075000e+01,4.724816e-01,4.148118e-01
-9.450000e+01,-1.378784e-01,1.096318e-01
-9.488854e+01,-1.415111e-01,1.078155e-01
-9.562500e+01,-1.486365e-01,1.042528e-01
-9.636146e+01,-1.559391e-01,1.006015e-01
8.550000e+01,-2.520010e-02,1.659710e-01
8.511146e+01,-1.947021e-02,1.688359e-01
8.437500e+01,-8.303343e-03,1.744193e-01
8.363854e+01,2.482863e-03,1.798124e-01
5.850000e+01,5.286507e-01,4.428964e-01
5.811146e+01,5.384546e-01,4.477983e-01
5.737500e+01,5.561271e-01,4.566346e-01
5.663854e+01,5.741443e-01,4.656432e-01
5.625000e+01,5.832161e-01,4.701791e-01
-1.575000e+01,1.537126e+00,9.471338e-01
-1.613854e+01,1.532184e+00,9.446630e-01
-1.687500e+01,1.521502e+00,9.393222e-01
-1.761146e+01,1.510800e+00,9.339708e-01
7.425000e+01,1.688339e-01,2.629880e-01
7.386146e+01,1.768163e-01,2.669791e-01
7.312500e+01,1.927731e-01,2.749575e-01
7.238854e+01,2.076075e-01,2.823748e-01
7.200000e+01,2.149830e-01,2.860625e-01
5.586146e+01,5.924105e-01,4.747763e-01
5.512500e+01,6.125279e-01,4.848349e-01
5.438854e+01,6.312915e-01,4.942168e-01
5.400000e+01,6.408694e-01,4.990057e-01
-3.375000e+01,1.177656e+00,7.673992e-01
-3.413854e+01,1.168603e+00,7.628723e-01
-3.487500e+01,1.150617e+00,7.538795e-01
-3.561146e+01,1.131565e+00,7.443536e-01
