Angle,Cp
1.683615e+02,-2.529253e-01
7.688854e+01,1.175970e-01
7.762500e+01,1.045057e-01
7.836146e+01,9.112793e-02
1.350000e+01,1.577543e+00
1.311146e+01,1.583758e+00
1.237500e+01,1.595211e+00
1.163854e+01,1.606146e+00
1.260000e+02,-2.437269e-01
1.256115e+02,-2.438083e-01
1.248750e+02,-2.440074e-01
1.241385e+02,-2.442881e-01
1.530000e+02,-2.507766e-01
1.533885e+02,-2.508014e-01
1.541250e+02,-2.508294e-01
1.548615e+02,-2.508286e-01
6.300000e+01,4.159171e-01
6.338854e+01,4.067117e-01
6.412500e+01,3.886367e-01
6.486146e+01,3.708676e-01
2.700000e+01,1.332865e+00
2.661146e+01,1.341117e+00
2.587500e+01,1.356694e+00
2.513854e+01,1.372413e+00
1.395000e+02,-2.479949e-01
1.398885e+02,-2.479867e-01
1.406250e+02,-2.479730e-01
1.413615e+02,-2.479626e-01
4.011146e+01,1.018803e+00
3.937500e+01,1.036296e+00
3.863854e+01,1.050358e+00
3.825000e+01,1.056861e+00
9.450000e+01,-1.381828e-01
9.411146e+01,-1.338693e-01
9.337500e+01,-1.256263e-01
9.263854e+01,-1.172433e-01
1.188615e+02,-2.488404e-01
1.181250e+02,-2.501951e-01
1.173885e+02,-2.519347e-01
1.170000e+02,-2.529543e-01
6.113854e+01,4.591658e-01
6.187500e+01,4.427957e-01
6.261146e+01,4.256394e-01
1.170000e+02,-2.623095e-01
1.173885e+02,-2.608419e-01
1.181250e+02,-2.577605e-01
1.188615e+02,-2.549406e-01
6.300000e+01,4.125326e-01
6.261146e+01,4.226768e-01
6.187500e+01,4.405697e-01
6.113854e+01,4.581926e-01
6.075000e+01,4.678992e-01
9.450000e+01,-1.375893e-01
9.488854e+01,-1.413275e-01
9.562500e+01,-1.487329e-01
9.636146e+01,-1.559933e-01
8.550000e+01,-2.330953e-02
8.511146e+01,-1.749521e-02
8.437500e+01,-6.625323e-03
8.363854e+01,3.886939e-03
5.850000e+01,5.248626e-01
5.811146e+01,5.350375e-01
5.737500e+01,5.533103e-01
5.663854e+01,5.713683e-01
5.625000e+01,5.814095e-01
1.575000e+01,1.537564e+00
1.613854e+01,1.532450e+00
1.687500e+01,1.522320e+00
1.761146e+01,1.511538e+00
7.425000e+01,1.694935e-01
7.386146e+01,1.776100e-01
7.312500e+01,1.923270e-01
7.238854e+01,2.061724e-01
7.200000e+01,2.136022e-01
5.586146e+01,5.920865e-01
5.512500e+01,6.110928e-01
5.438854e+01,6.303078e-01
5.400000e+01,6.415274e-01
3.375000e+01,1.180486e+00
3.413854e+01,1.170369e+00
3.487500e+01,1.152322e+00
3.561146e+01,1.133955e+00
3.600000e+01,1.124038e+00
1.687500e+02,-2.394394e-01
1.683615e+02,-2.398412e-01
1.676250e+02,-2.408059e-01
1.668885e+02,-2.418189e-01
1.665000e+02,-2.423379e-01
1.125000e+01,1.586451e+00
1.163854e+01,1.582984e+00
1.237500e+01,1.575874e+00
1.311146e+01,1.568290e+00
1.350000e+01,1.564156e+00
1.102500e+02,-2.616624e-01
1.106385e+02,-2.631567e-01
1.113750e+02,-2.656164e-01
1.121115e+02,-2.675410e-01
1.125000e+02,-2.682907e-01
1.597500e+02,-2.469398e-01
1.593615e+02,-2.467959e-01
1.586250e+02,-2.465613e-01
1.578885e+02,-2.463186e-01
1.575000e+02,-2.462034e-01
6.975000e+01,2.589234e-01
6.936146e+01,2.680326e-01
6.862500e+01,2.842530e-01
6.788854e+01,2.996783e-01
6.750000e+01,3.081622e-01
1.710000e+02,-2.363371e-01
1.706115e+02,-2.368249e-01
1.698750e+02,-2.377969e-01
1.691385e+02,-2.388420e-01
9.000000e+00,1.604921e+00
9.388542e+00,1.601920e+00
1.012500e+01,1.595845e+00
1.086146e+01,1.589706e+00
1.571115e+02,-2.460859e-01
1.563750e+02,-2.458782e-01
1.556385e+02,-2.457082e-01
1.552500e+02,-2.456321e-01
1.128885e+02,-2.688526e-01
1.136250e+02,-2.693063e-01
1.143615e+02,-2.689227e-01
1.147500e+02,-2.683760e-01
2.250000e+01,1.427081e+00
2.288854e+01,1.419697e+00
2.362500e+01,1.405494e+00
2.436146e+01,1.391122e+00
2.475000e+01,1.383613e+00
6.711146e+01,3.174199e-01
6.637500e+01,3.344836e-01
6.563854e+01,3.512199e-01
6.525000e+01,3.601562e-01
1.372500e+02,-2.429888e-01
1.368615e+02,-2.429983e-01
1.361250e+02,-2.430195e-01
1.353885e+02,-2.430400e-01
4.275000e+01,9.452868e-01
4.313854e+01,9.341855e-01
4.387500e+01,9.149599e-01
4.461146e+01,8.947104e-01
4.725000e+01,8.245889e-01
4.686146e+01,8.352933e-01
4.612500e+01,8.548864e-01
4.538854e+01,8.741134e-01
1.548615e+02,-2.455642e-01
1.541250e+02,-2.454590e-01
1.533885e+02,-2.453818e-01
1.530000e+02,-2.453519e-01
1.151385e+02,-2.676667e-01
1.158750e+02,-2.659314e-01
1.166115e+02,-2.636951e-01
2.513854e+01,1.376100e+00
2.587500e+01,1.362701e+00
2.661146e+01,1.350284e+00
2.700000e+01,1.344243e+00
6.486146e+01,3.697328e-01
6.412500e+01,3.869779e-01
6.338854e+01,4.035687e-01
6.036146e+01,4.780127e-01
5.962500e+01,4.965877e-01
5.888854e+01,5.150921e-01
4.950000e+01,7.629132e-01
4.911146e+01,7.739693e-01
4.837500e+01,7.940663e-01
4.763854e+01,8.137873e-01
4.050000e+01,1.005850e+00
4.088854e+01,9.950440e-01
4.162500e+01,9.759242e-01
4.236146e+01,9.561498e-01
3.825000e+01,1.065407e+00
3.863854e+01,1.054805e+00
3.937500e+01,1.035916e+00
4.011146e+01,1.016457e+00
5.175000e+01,7.004001e-01
5.136146e+01,7.120340e-01
5.062500e+01,7.323863e-01
4.988854e+01,7.521312e-01
7.161146e+01,2.221130e-01
7.087500e+01,2.373098e-01
7.013854e+01,2.513029e-01
9.225000e+01,-1.110361e-01
9.263854e+01,-1.156327e-01
9.337500e+01,-1.243894e-01
9.411146e+01,-1.330973e-01
1.260000e+02,-2.489603e-01
1.263885e+02,-2.488095e-01
1.271250e+02,-2.485436e-01
1.278615e+02,-2.483720e-01
1.282500e+02,-2.483060e-01
3.638854e+01,1.113861e+00
3.712500e+01,1.095101e+00
3.786146e+01,1.075809e+00
5.361146e+01,6.524576e-01
5.287500e+01,6.704772e-01
5.213854e+01,6.889106e-01
6.750000e+00,1.619561e+00
7.138542e+00,1.617168e+00
7.875000e+00,1.612505e+00
8.611459e+00,1.607620e+00
1.661115e+02,-2.428708e-01
1.653750e+02,-2.437749e-01
1.646385e+02,-2.445854e-01
1.642500e+02,-2.449764e-01
1.388854e+01,1.559883e+00
